event,ordinal,token,cycle,group,item
multiply,128,0,127614,5,8
combine,128,0,127615,5,8
read,128,0,127615,5,11
response,128,0,127615,5,9
accumulate,128,0,127616,5,8
dispatch,128,0,127616,5,11
multiply,128,0,127616,5,9
combine,128,0,127617,5,9
read,128,0,127617,5,12
response,128,0,127617,5,10
accumulate,128,0,127618,5,9
dispatch,128,0,127618,5,12
multiply,128,0,127618,5,10
combine,128,0,127619,5,10
read,128,0,127619,5,13
response,128,0,127619,5,11
accumulate,128,0,127620,5,10
dispatch,128,0,127620,5,13
multiply,128,0,127620,5,11
combine,128,0,127621,5,11
read,128,0,127621,5,14
response,128,0,127621,5,12
accumulate,128,0,127622,5,11
dispatch,128,0,127622,5,14
multiply,128,0,127622,5,12
combine,128,0,127623,5,12
read,128,0,127623,5,15
response,128,0,127623,5,13
accumulate,128,0,127624,5,12
chunk,128,0,127624,5,1
dispatch,128,0,127624,5,15
multiply,128,0,127624,5,13
combine,128,0,127625,5,13
read,128,0,127625,5,16
response,128,0,127625,5,14
accumulate,128,0,127626,5,13
dispatch,128,0,127626,5,16
multiply,128,0,127626,5,14
combine,128,0,127627,5,14
read,128,0,127627,5,17
response,128,0,127627,5,15
accumulate,128,0,127628,5,14
dispatch,128,0,127628,5,17
multiply,128,0,127628,5,15
combine,128,0,127629,5,15
read,128,0,127629,5,18
response,128,0,127629,5,16
accumulate,128,0,127630,5,15
dispatch,128,0,127630,5,18
multiply,128,0,127630,5,16
combine,128,0,127631,5,16
read,128,0,127631,5,19
response,128,0,127631,5,17
accumulate,128,0,127632,5,16
dispatch,128,0,127632,5,19
multiply,128,0,127632,5,17
combine,128,0,127633,5,17
response,128,0,127633,5,18
accumulate,128,0,127634,5,17
multiply,128,0,127634,5,18
combine,128,0,127635,5,18
response,128,0,127635,5,19
accumulate,128,0,127636,5,18
multiply,128,0,127636,5,19
combine,128,0,127637,5,19
last,128,0,127638,5,19
bias,128,0,127639,5,-1
restart,128,0,127639,5,-1
add,128,0,127640,5,-1
group,128,0,127640,6,-1
chunk,128,0,127641,6,0
round,128,0,127641,5,-1
collect,128,0,127642,5,-1
read,128,0,127642,6,0
dispatch,128,0,127643,6,0
read,128,0,127644,6,1
dispatch,128,0,127645,6,1
read,128,0,127646,6,2
response,128,0,127646,6,0
dispatch,128,0,127647,6,2
multiply,128,0,127647,6,0
combine,128,0,127648,6,0
read,128,0,127648,6,3
response,128,0,127648,6,1
accumulate,128,0,127649,6,0
dispatch,128,0,127649,6,3
multiply,128,0,127649,6,1
combine,128,0,127650,6,1
read,128,0,127650,6,4
response,128,0,127650,6,2
accumulate,128,0,127651,6,1
dispatch,128,0,127651,6,4
multiply,128,0,127651,6,2
combine,128,0,127652,6,2
read,128,0,127652,6,5
response,128,0,127652,6,3
accumulate,128,0,127653,6,2
dispatch,128,0,127653,6,5
multiply,128,0,127653,6,3
combine,128,0,127654,6,3
read,128,0,127654,6,6
response,128,0,127654,6,4
accumulate,128,0,127655,6,3
dispatch,128,0,127655,6,6
multiply,128,0,127655,6,4
combine,128,0,127656,6,4
read,128,0,127656,6,7
response,128,0,127656,6,5
accumulate,128,0,127657,6,4
dispatch,128,0,127657,6,7
multiply,128,0,127657,6,5
combine,128,0,127658,6,5
read,128,0,127658,6,8
response,128,0,127658,6,6
accumulate,128,0,127659,6,5
dispatch,128,0,127659,6,8
multiply,128,0,127659,6,6
combine,128,0,127660,6,6
read,128,0,127660,6,9
response,128,0,127660,6,7
accumulate,128,0,127661,6,6
dispatch,128,0,127661,6,9
multiply,128,0,127661,6,7
combine,128,0,127662,6,7
read,128,0,127662,6,10
response,128,0,127662,6,8
accumulate,128,0,127663,6,7
dispatch,128,0,127663,6,10
multiply,128,0,127663,6,8
combine,128,0,127664,6,8
read,128,0,127664,6,11
response,128,0,127664,6,9
accumulate,128,0,127665,6,8
dispatch,128,0,127665,6,11
multiply,128,0,127665,6,9
combine,128,0,127666,6,9
read,128,0,127666,6,12
response,128,0,127666,6,10
accumulate,128,0,127667,6,9
dispatch,128,0,127667,6,12
multiply,128,0,127667,6,10
combine,128,0,127668,6,10
read,128,0,127668,6,13
response,128,0,127668,6,11
accumulate,128,0,127669,6,10
dispatch,128,0,127669,6,13
multiply,128,0,127669,6,11
combine,128,0,127670,6,11
read,128,0,127670,6,14
response,128,0,127670,6,12
accumulate,128,0,127671,6,11
dispatch,128,0,127671,6,14
multiply,128,0,127671,6,12
combine,128,0,127672,6,12
read,128,0,127672,6,15
response,128,0,127672,6,13
accumulate,128,0,127673,6,12
chunk,128,0,127673,6,1
dispatch,128,0,127673,6,15
multiply,128,0,127673,6,13
combine,128,0,127674,6,13
read,128,0,127674,6,16
response,128,0,127674,6,14
accumulate,128,0,127675,6,13
dispatch,128,0,127675,6,16
multiply,128,0,127675,6,14
combine,128,0,127676,6,14
read,128,0,127676,6,17
response,128,0,127676,6,15
accumulate,128,0,127677,6,14
dispatch,128,0,127677,6,17
multiply,128,0,127677,6,15
combine,128,0,127678,6,15
read,128,0,127678,6,18
response,128,0,127678,6,16
accumulate,128,0,127679,6,15
dispatch,128,0,127679,6,18
multiply,128,0,127679,6,16
combine,128,0,127680,6,16
read,128,0,127680,6,19
response,128,0,127680,6,17
accumulate,128,0,127681,6,16
dispatch,128,0,127681,6,19
multiply,128,0,127681,6,17
combine,128,0,127682,6,17
response,128,0,127682,6,18
accumulate,128,0,127683,6,17
multiply,128,0,127683,6,18
combine,128,0,127684,6,18
response,128,0,127684,6,19
accumulate,128,0,127685,6,18
multiply,128,0,127685,6,19
combine,128,0,127686,6,19
last,128,0,127687,6,19
bias,128,0,127688,6,-1
restart,128,0,127688,6,-1
add,128,0,127689,6,-1
group,128,0,127689,7,-1
chunk,128,0,127690,7,0
round,128,0,127690,6,-1
collect,128,0,127691,6,-1
read,128,0,127691,7,0
dispatch,128,0,127692,7,0
read,128,0,127693,7,1
dispatch,128,0,127694,7,1
read,128,0,127695,7,2
response,128,0,127695,7,0
dispatch,128,0,127696,7,2
multiply,128,0,127696,7,0
combine,128,0,127697,7,0
read,128,0,127697,7,3
response,128,0,127697,7,1
accumulate,128,0,127698,7,0
dispatch,128,0,127698,7,3
multiply,128,0,127698,7,1
combine,128,0,127699,7,1
read,128,0,127699,7,4
response,128,0,127699,7,2
accumulate,128,0,127700,7,1
