stage,frame,token,input_cycle,output_cycle,elapsed_cycles
patch_queue,8,14,135738,136724,986
embedding,8,14,136724,138696,1972
block0,8,14,138696,143631,4935
block1,8,14,143631,146507,2876
patch_queue,8,15,136725,137711,986
embedding,8,15,137711,139683,1972
block0,8,15,139683,144618,4935
block1,8,15,144618,147494,2876
head_hidden_first_token,8,0,132689,150787,18098
head_hidden_last_token,8,15,147494,150787,3293
head_output,8,0,150787,151529,742
serializer,8,0,151529,151587,58
patch_queue,9,0,137712,138698,986
embedding,9,0,138698,140670,1972
block0,9,0,140670,145605,4935
block1,9,0,145605,148481,2876
patch_queue,9,1,138699,139685,986
embedding,9,1,139685,141657,1972
block0,9,1,141657,146592,4935
block1,9,1,146592,149468,2876
patch_queue,9,2,139686,140672,986
embedding,9,2,140672,142644,1972
block0,9,2,142644,147579,4935
block1,9,2,147579,150455,2876
patch_queue,9,3,140673,141659,986
embedding,9,3,141659,143631,1972
block0,9,3,143631,148566,4935
block1,9,3,148566,151442,2876
patch_queue,9,4,141660,142646,986
embedding,9,4,142646,144618,1972
block0,9,4,144618,149553,4935
block1,9,4,149553,152429,2876
patch_queue,9,5,142647,143633,986
embedding,9,5,143633,145605,1972
block0,9,5,145605,150540,4935
block1,9,5,150540,153416,2876
patch_queue,9,6,143634,144620,986
embedding,9,6,144620,146592,1972
block0,9,6,146592,151527,4935
block1,9,6,151527,154403,2876
patch_queue,9,7,144621,145607,986
embedding,9,7,145607,147579,1972
block0,9,7,147579,152514,4935
block1,9,7,152514,155390,2876
patch_queue,9,8,145608,146594,986
embedding,9,8,146594,148566,1972
block0,9,8,148566,153501,4935
block1,9,8,153501,156377,2876
patch_queue,9,9,146595,147581,986
embedding,9,9,147581,149553,1972
block0,9,9,149553,154488,4935
block1,9,9,154488,157364,2876
patch_queue,9,10,147582,148568,986
embedding,9,10,148568,150540,1972
block0,9,10,150540,155475,4935
block1,9,10,155475,158351,2876
patch_queue,9,11,148569,149555,986
embedding,9,11,149555,151527,1972
block0,9,11,151527,156462,4935
block1,9,11,156462,159338,2876
patch_queue,9,12,149556,150542,986
embedding,9,12,150542,152514,1972
block0,9,12,152514,157449,4935
block1,9,12,157449,160325,2876
patch_queue,9,13,150543,151529,986
embedding,9,13,151529,153501,1972
block0,9,13,153501,158436,4935
block1,9,13,158436,161312,2876
patch_queue,9,14,151530,152516,986
embedding,9,14,152516,154488,1972
block0,9,14,154488,159423,4935
block1,9,14,159423,162299,2876
patch_queue,9,15,152517,153503,986
embedding,9,15,153503,155475,1972
block0,9,15,155475,160410,4935
block1,9,15,160410,163286,2876
head_hidden_first_token,9,0,148481,166579,18098
head_hidden_last_token,9,15,163286,166579,3293
head_output,9,0,166579,167321,742
