SWAY_PERF_OUTPUT,338,-15,65515
SWAY_PERF_OUTPUT,339,-27,65516
SWAY_PERF_OUTPUT,340,-29,65517
SWAY_PERF_OUTPUT,341,12,65518
SWAY_PERF_FRAME,5,65462,65518
SWAY_PERF_INPUT_FRAME,9,64079,73526
SWAY_PERF_OUTPUT,342,4,74910
SWAY_PERF_OUTPUT,343,4,74911
SWAY_PERF_OUTPUT,344,3,74912
SWAY_PERF_OUTPUT,345,3,74913
SWAY_PERF_OUTPUT,346,10,74914
SWAY_PERF_OUTPUT,347,16,74915
SWAY_PERF_OUTPUT,348,21,74916
SWAY_PERF_OUTPUT,349,-3,74917
SWAY_PERF_OUTPUT,350,-10,74918
SWAY_PERF_OUTPUT,351,-15,74919
SWAY_PERF_OUTPUT,352,7,74920
SWAY_PERF_OUTPUT,353,11,74921
SWAY_PERF_OUTPUT,354,15,74922
SWAY_PERF_OUTPUT,355,15,74923
SWAY_PERF_OUTPUT,356,2,74924
SWAY_PERF_OUTPUT,357,-2,74925
SWAY_PERF_OUTPUT,358,-5,74926
SWAY_PERF_OUTPUT,359,-5,74927
SWAY_PERF_OUTPUT,360,3,74928
SWAY_PERF_OUTPUT,361,63,74929
SWAY_PERF_OUTPUT,362,62,74930
SWAY_PERF_OUTPUT,363,61,74931
SWAY_PERF_OUTPUT,364,61,74932
SWAY_PERF_OUTPUT,365,62,74933
SWAY_PERF_OUTPUT,366,62,74934
SWAY_PERF_OUTPUT,367,60,74935
SWAY_PERF_OUTPUT,368,61,74936
SWAY_PERF_OUTPUT,369,61,74937
SWAY_PERF_OUTPUT,370,60,74938
SWAY_PERF_OUTPUT,371,61,74939
SWAY_PERF_OUTPUT,372,60,74940
SWAY_PERF_OUTPUT,373,61,74941
SWAY_PERF_OUTPUT,374,59,74942
SWAY_PERF_OUTPUT,375,61,74943
SWAY_PERF_OUTPUT,376,61,74944
SWAY_PERF_OUTPUT,377,63,74945
SWAY_PERF_OUTPUT,378,60,74946
SWAY_PERF_OUTPUT,379,61,74947
SWAY_PERF_OUTPUT,380,-4,74948
SWAY_PERF_OUTPUT,381,6,74949
SWAY_PERF_OUTPUT,382,17,74950
SWAY_PERF_OUTPUT,383,21,74951
SWAY_PERF_OUTPUT,384,13,74952
SWAY_PERF_OUTPUT,385,13,74953
SWAY_PERF_OUTPUT,386,14,74954
SWAY_PERF_OUTPUT,387,13,74955
SWAY_PERF_OUTPUT,388,12,74956
SWAY_PERF_OUTPUT,389,15,74957
SWAY_PERF_OUTPUT,390,-3,74958
SWAY_PERF_OUTPUT,391,-14,74959
SWAY_PERF_OUTPUT,392,-26,74960
SWAY_PERF_OUTPUT,393,-28,74961
SWAY_PERF_OUTPUT,394,-3,74962
SWAY_PERF_OUTPUT,395,-14,74963
SWAY_PERF_OUTPUT,396,-26,74964
SWAY_PERF_OUTPUT,397,-28,74965
SWAY_PERF_OUTPUT,398,14,74966
SWAY_PERF_FRAME,6,74910,74966
SWAY_PERF_INPUT_FRAME,10,73527,82974
SWAY_PERF_OUTPUT,399,8,84358
SWAY_PERF_OUTPUT,400,9,84359
