---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch 233 | train MSE 0.008248 m2 | val MAE 6.3702 cm | val RMSE 8.6483 cm | 8.98 s
Epoch 234 | train MSE 0.008247 m2 | val MAE 6.3487 cm | val RMSE 8.6389 cm | 10.00 s
Epoch 235 | train MSE 0.008248 m2 | val MAE 6.4027 cm | val RMSE 8.6591 cm | 9.13 s
Epoch 236 | train MSE 0.008247 m2 | val MAE 6.3624 cm | val RMSE 8.6524 cm | 9.10 s
Epoch 237 | train MSE 0.008227 m2 | val MAE 6.3808 cm | val RMSE 8.6396 cm | 9.72 s
Epoch 238 | train MSE 0.008245 m2 | val MAE 6.3518 cm | val RMSE 8.6286 cm | 8.89 s *
Epoch 239 | train MSE 0.008242 m2 | val MAE 6.3548 cm | val RMSE 8.6370 cm | 9.42 s
Epoch 240 | train MSE 0.008223 m2 | val MAE 6.4003 cm | val RMSE 8.6704 cm | 9.09 s
Epoch 241 | train MSE 0.008225 m2 | val MAE 6.3314 cm | val RMSE 8.6265 cm | 8.92 s *
Epoch 242 | train MSE 0.008226 m2 | val MAE 6.3537 cm | val RMSE 8.6295 cm | 8.59 s
Epoch 243 | train MSE 0.008216 m2 | val MAE 6.3413 cm | val RMSE 8.6282 cm | 8.97 s
Epoch 244 | train MSE 0.008230 m2 | val MAE 6.3684 cm | val RMSE 8.6387 cm | 9.59 s
Epoch 245 | train MSE 0.008214 m2 | val MAE 6.3835 cm | val RMSE 8.6479 cm | 10.05 s
Epoch 246 | train MSE 0.008241 m2 | val MAE 6.3418 cm | val RMSE 8.6238 cm | 9.99 s *
Epoch 247 | train MSE 0.008208 m2 | val MAE 6.3413 cm | val RMSE 8.6193 cm | 9.82 s *
Epoch 248 | train MSE 0.008197 m2 | val MAE 6.3668 cm | val RMSE 8.6242 cm | 10.62 s
Epoch 249 | train MSE 0.008222 m2 | val MAE 6.3510 cm | val RMSE 8.6298 cm | 10.23 s
Epoch 250 | train MSE 0.008201 m2 | val MAE 6.3247 cm | val RMSE 8.6152 cm | 10.15 s *
Epoch 251 | train MSE 0.008195 m2 | val MAE 6.3263 cm | val RMSE 8.6165 cm | 9.74 s
Epoch 252 | train MSE 0.008197 m2 | val MAE 6.3374 cm | val RMSE 8.6197 cm | 9.78 s
Epoch 253 | train MSE 0.008202 m2 | val MAE 6.3720 cm | val RMSE 8.6334 cm | 10.24 s
Epoch 254 | train MSE 0.008223 m2 | val MAE 6.3530 cm | val RMSE 8.6194 cm | 10.21 s
Epoch 255 | train MSE 0.008200 m2 | val MAE 6.3319 cm | val RMSE 8.6114 cm | 10.30 s *
Epoch 256 | train MSE 0.008187 m2 | val MAE 6.3386 cm | val RMSE 8.6256 cm | 10.53 s
Epoch 257 | train MSE 0.008189 m2 | val MAE 6.3651 cm | val RMSE 8.6318 cm | 10.70 s
Epoch 258 | train MSE 0.008181 m2 | val MAE 6.3441 cm | val RMSE 8.6121 cm | 10.86 s
Epoch 259 | train MSE 0.008180 m2 | val MAE 6.3665 cm | val RMSE 8.6307 cm | 10.50 s
Epoch 260 | train MSE 0.008180 m2 | val MAE 6.3365 cm | val RMSE 8.6373 cm | 9.85 s
Epoch 261 | train MSE 0.008219 m2 | val MAE 6.3240 cm | val RMSE 8.6181 cm | 9.77 s
Epoch 262 | train MSE 0.008184 m2 | val MAE 6.3230 cm | val RMSE 8.6071 cm | 10.24 s *
Epoch 263 | train MSE 0.008173 m2 | val MAE 6.3375 cm | val RMSE 8.6105 cm | 10.09 s
Epoch 264 | train MSE 0.008176 m2 | val MAE 6.3116 cm | val RMSE 8.6116 cm | 9.63 s
Epoch 265 | train MSE 0.008178 m2 | val MAE 6.4025 cm | val RMSE 8.6647 cm | 9.58 s
Epoch 266 | train MSE 0.008213 m2 | val MAE 6.3147 cm | val RMSE 8.6024 cm | 9.79 s *
Epoch 267 | train MSE 0.008161 m2 | val MAE 6.3107 cm | val RMSE 8.6002 cm | 9.76 s *
Epoch 268 | train MSE 0.008164 m2 | val MAE 6.3047 cm | val RMSE 8.6000 cm | 10.13 s *
Epoch 269 | train MSE 0.008163 m2 | val MAE 6.3228 cm | val RMSE 8.6015 cm | 9.86 s
Epoch 270 | train MSE 0.008151 m2 | val MAE 6.3170 cm | val RMSE 8.5953 cm | 9.79 s *
Epoch 271 | train MSE 0.008154 m2 | val MAE 6.3228 cm | val RMSE 8.5971 cm | 9.68 s
Epoch 272 | train MSE 0.008146 m2 | val MAE 6.3771 cm | val RMSE 8.6512 cm | 9.50 s
Epoch 273 | train MSE 0.008214 m2 | val MAE 6.3532 cm | val RMSE 8.6212 cm | 10.35 s
Epoch 274 | train MSE 0.008173 m2 | val MAE 6.3194 cm | val RMSE 8.5929 cm | 9.22 s *
Epoch 275 | train MSE 0.008148 m2 | val MAE 6.3384 cm | val RMSE 8.6109 cm | 9.55 s
Epoch 276 | train MSE 0.008154 m2 | val MAE 6.3584 cm | val RMSE 8.6268 cm | 9.66 s
Epoch 277 | train MSE 0.008181 m2 | val MAE 6.3436 cm | val RMSE 8.6111 cm | 9.43 s
Epoch 278 | train MSE 0.008141 m2 | val MAE 6.3174 cm | val RMSE 8.5886 cm | 12.35 s *
Epoch 279 | train MSE 0.008141 m2 | val MAE 6.3250 cm | val RMSE 8.5970 cm | 9.30 s
Epoch 280 | train MSE 0.008141 m2 | val MAE 6.3129 cm | val RMSE 8.5883 cm | 9.35 s *
Epoch 281 | train MSE 0.008225 m2 | val MAE 6.3161 cm | val RMSE 8.5843 cm | 9.39 s *
Epoch 282 | train MSE 0.008139 m2 | val MAE 6.3327 cm | val RMSE 8.6046 cm | 9.99 s
Epoch 283 | train MSE 0.008135 m2 | val MAE 6.3199 cm | val RMSE 8.5876 cm | 49.42 s
Epoch 284 | train MSE 0.008119 m2 | val MAE 6.3139 cm | val RMSE 8.5848 cm | 8.42 s
Epoch 285 | train MSE 0.008115 m2 | val MAE 6.3329 cm | val RMSE 8.5955 cm | 8.78 s
Epoch 286 | train MSE 0.008134 m2 | val MAE 6.2919 cm | val RMSE 8.5878 cm | 8.09 s
Epoch 287 | train MSE 0.008116 m2 | val MAE 6.3151 cm | val RMSE 8.5863 cm | 7.86 s
Epoch 288 | train MSE 0.008112 m2 | val MAE 6.3067 cm | val RMSE 8.5895 cm | 8.45 s
Epoch 289 | train MSE 0.008118 m2 | val MAE 6.3039 cm | val RMSE 8.5730 cm | 8.24 s *
Epoch 290 | train MSE 0.008104 m2 | val MAE 6.2968 cm | val RMSE 8.5843 cm | 8.16 s
Epoch 291 | train MSE 0.008116 m2 | val MAE 6.2980 cm | val RMSE 8.5746 cm | 8.38 s
Epoch 292 | train MSE 0.008116 m2 | val MAE 6.3197 cm | val RMSE 8.5787 cm | 8.78 s
