event,ordinal,token,cycle,group,item
combine,128,0,81542,2,14
dispatch,128,0,81542,2,18
multiply,128,0,81542,2,15
read,128,0,81542,2,19
accumulate,128,0,81543,2,14
combine,128,0,81543,2,15
dispatch,128,0,81543,2,19
response,128,0,81543,2,16
accumulate,128,0,81544,2,15
multiply,128,0,81544,2,16
response,128,0,81544,2,17
combine,128,0,81545,2,16
multiply,128,0,81545,2,17
response,128,0,81545,2,18
accumulate,128,0,81546,2,16
combine,128,0,81546,2,17
multiply,128,0,81546,2,18
response,128,0,81546,2,19
accumulate,128,0,81547,2,17
combine,128,0,81547,2,18
multiply,128,0,81547,2,19
accumulate,128,0,81548,2,18
combine,128,0,81548,2,19
last,128,0,81549,2,19
bias,128,0,81550,2,-1
restart,128,0,81550,2,-1
add,128,0,81551,2,-1
group,128,0,81551,3,-1
chunk,128,0,81552,3,0
round,128,0,81552,2,-1
collect,128,0,81553,2,-1
read,128,0,81553,3,0
dispatch,128,0,81554,3,0
read,128,0,81554,3,1
dispatch,128,0,81555,3,1
read,128,0,81555,3,2
dispatch,128,0,81556,3,2
read,128,0,81556,3,3
dispatch,128,0,81557,3,3
read,128,0,81557,3,4
response,128,0,81557,3,0
dispatch,128,0,81558,3,4
multiply,128,0,81558,3,0
read,128,0,81558,3,5
response,128,0,81558,3,1
combine,128,0,81559,3,0
dispatch,128,0,81559,3,5
multiply,128,0,81559,3,1
read,128,0,81559,3,6
response,128,0,81559,3,2
accumulate,128,0,81560,3,0
combine,128,0,81560,3,1
dispatch,128,0,81560,3,6
multiply,128,0,81560,3,2
read,128,0,81560,3,7
response,128,0,81560,3,3
accumulate,128,0,81561,3,1
combine,128,0,81561,3,2
dispatch,128,0,81561,3,7
multiply,128,0,81561,3,3
read,128,0,81561,3,8
response,128,0,81561,3,4
accumulate,128,0,81562,3,2
combine,128,0,81562,3,3
dispatch,128,0,81562,3,8
multiply,128,0,81562,3,4
read,128,0,81562,3,9
response,128,0,81562,3,5
accumulate,128,0,81563,3,3
combine,128,0,81563,3,4
dispatch,128,0,81563,3,9
multiply,128,0,81563,3,5
read,128,0,81563,3,10
response,128,0,81563,3,6
accumulate,128,0,81564,3,4
combine,128,0,81564,3,5
dispatch,128,0,81564,3,10
multiply,128,0,81564,3,6
read,128,0,81564,3,11
response,128,0,81564,3,7
accumulate,128,0,81565,3,5
combine,128,0,81565,3,6
dispatch,128,0,81565,3,11
multiply,128,0,81565,3,7
read,128,0,81565,3,12
