epoch,train_mse_m2,validation_mae_cm,validation_rmse_cm,learning_rate,elapsed_seconds
72,0.009276466869355873,6.923796092285716,9.226838472827291,0.001,6.608667894000064
73,0.008767076391558935,6.689320855226762,9.027892895791942,0.001,6.344308984000008
74,0.00878092476680626,7.0582649818205345,9.32782428160215,0.001,6.907874996999908
75,0.008813555479205407,7.083761208946144,9.277155148984626,0.001,6.620538234999913
76,0.008739766429282826,6.628067061387273,8.923840218727042,0.001,6.695173593999925
77,0.008569435977689605,7.1550980890286775,9.417582354457332,0.001,6.460080344000062
78,0.008634265209062507,7.367573557047194,9.704343711437172,0.001,6.523462240000072
79,0.00872267610765359,6.8662552232650045,9.133184611245383,0.001,6.663607444999798
80,0.008580907508325327,6.885888558727204,9.205761118456357,0.001,6.33681499599993
81,0.008677942369865103,6.528220686050708,8.788552545981997,0.001,6.0996170030000485
82,0.008413789563359619,6.658807594965481,8.907859233382583,0.001,7.012113855000052
83,0.008442537196096335,7.578574399881975,9.95999231854441,0.001,6.54231952400005
84,0.0087380293998358,6.58102190349359,8.85040509230753,0.001,6.555690427999934
85,0.008431545212339502,6.447042659194763,8.774326394307417,0.001,6.5799240260000715
86,0.008268209182518218,7.002648733118652,9.446373093857915,0.001,6.531622989000198
87,0.009133369411332326,6.836653795040282,9.060883217532343,0.001,6.260520522999968
88,0.00837984793464001,6.726308435080468,8.997518650717046,0.001,6.83583983099993
89,0.008410929990914544,6.553726390364567,8.832016511339445,0.001,6.576863958000104
90,0.008275341825005725,6.59602888271544,8.831864683655626,0.001,6.768616910999981
91,0.008187349358858223,6.4408559096128615,8.800434106699887,0.001,6.837532773000021
92,0.00817150816033919,6.569571747614119,8.897791696366268,0.001,6.670478172999992
93,0.00820650529142088,6.54400052962934,8.902704995977262,0.001,6.8136743229999865
94,0.00819771470682974,6.4337790650603806,8.712984864367986,0.001,6.681883893000077
95,0.008095099911530852,6.609265779695641,8.828544989387867,0.001,6.800514991999989
96,0.008086098500291457,7.225365214813287,9.834866784152355,0.001,6.98135956200008
97,0.00919972763838816,7.125764281545744,9.396689491690273,0.001,6.640285247000065
98,0.008472993327596509,7.324680996177192,9.5684508566823,0.001,6.583921284000098
99,0.00887408128393221,6.693281309757142,8.970758214681972,0.001,6.53832843400005
100,0.008314674044566456,6.735193071684406,9.120007775407105,0.001,6.748439045000168
101,0.008433973191459707,7.361010917130731,9.524210453989916,0.001,6.496274175000053
102,0.00824720627672925,6.850545822064558,9.168560578925385,0.001,6.7294215730000815
103,0.00830719591104696,6.361234494322772,8.653847630264393,0.001,6.569365718999961
104,0.007946896753684497,8.264551833457197,10.798860386612605,0.001,6.605787710999948
105,0.009213884226184656,6.813681723602556,9.025964556659227,0.001,7.126495752999972
106,0.008122229596791418,6.843324353828266,9.00261604777191,0.001,6.697344995000094
107,0.008105434008746215,6.2910640389783055,8.483708349697762,0.001,7.0550045429999955
108,0.007835767621577385,6.265307505289141,8.558071303089655,0.001,7.008457442000008
109,0.007868249056620718,6.583125889795244,8.801122264070147,0.001,6.787863649000201
110,0.00804592217570642,6.44776647886179,8.718486960116143,0.001,6.703035199999931
111,0.007855688261147907,6.610803370397107,8.934240638317641,0.001,6.893677434999972
112,0.007943133418088758,7.0307140023188595,9.291292537904395,0.001,6.485636700999976
113,0.00878538606865001,6.864520143947508,9.112602793964486,0.001,6.3904117150000275
114,0.00813972615632783,6.396627516549413,8.618464616349748,0.001,6.405470740000055
115,0.007802903468604596,7.408787469363879,9.642872009761605,0.001,6.563109423000014
116,0.008042235534482134,6.393127575066276,8.622070466928283,0.0005,6.563191632000098
117,0.007651091083662263,6.248202787690666,8.475080975214153,0.0005,6.664260575000071
118,0.007610577416672731,6.123988458165755,8.39429651701372,0.0005,6.790393150999989
119,0.007543021256160921,6.166003691117786,8.41666055672121,0.0005,6.605202226000074
120,0.007593262699010624,6.304830126267535,8.52032376467191,0.0005,6.556723952000084
121,0.007587261780010419,6.324027012645582,8.579587520059869,0.0005,6.684299405000047
122,0.00770716488274364,6.0882171092973065,8.320015224610843,0.0005,6.38125620400001
