---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch 122 | train MSE 0.007707 m2 | val MAE 6.0882 cm | val RMSE 8.3200 cm | 6.38 s *
Epoch 123 | train MSE 0.007522 m2 | val MAE 6.1290 cm | val RMSE 8.3539 cm | 6.18 s
Epoch 124 | train MSE 0.007501 m2 | val MAE 6.1051 cm | val RMSE 8.3329 cm | 6.54 s
Epoch 125 | train MSE 0.007490 m2 | val MAE 6.1262 cm | val RMSE 8.4048 cm | 6.54 s
Epoch 126 | train MSE 0.007537 m2 | val MAE 6.1445 cm | val RMSE 8.3590 cm | 6.63 s
Epoch 127 | train MSE 0.007478 m2 | val MAE 6.0926 cm | val RMSE 8.3052 cm | 6.62 s *
Epoch 128 | train MSE 0.007501 m2 | val MAE 6.0861 cm | val RMSE 8.3766 cm | 6.68 s
Epoch 129 | train MSE 0.007424 m2 | val MAE 6.1945 cm | val RMSE 8.3982 cm | 6.56 s
Epoch 130 | train MSE 0.007475 m2 | val MAE 6.0851 cm | val RMSE 8.2844 cm | 6.67 s *
Epoch 131 | train MSE 0.007428 m2 | val MAE 6.1386 cm | val RMSE 8.3428 cm | 6.64 s
Epoch 132 | train MSE 0.007440 m2 | val MAE 6.1378 cm | val RMSE 8.3878 cm | 6.65 s
Epoch 133 | train MSE 0.007485 m2 | val MAE 6.3488 cm | val RMSE 8.5745 cm | 6.78 s
Epoch 134 | train MSE 0.007511 m2 | val MAE 6.2118 cm | val RMSE 8.4418 cm | 6.61 s
Epoch 135 | train MSE 0.007442 m2 | val MAE 6.1730 cm | val RMSE 8.4631 cm | 6.82 s
Epoch 136 | train MSE 0.007828 m2 | val MAE 6.2684 cm | val RMSE 8.4863 cm | 5.83 s
Epoch 137 | train MSE 0.007555 m2 | val MAE 6.0533 cm | val RMSE 8.2574 cm | 6.48 s *
Epoch 138 | train MSE 0.007383 m2 | val MAE 6.2737 cm | val RMSE 8.5125 cm | 6.58 s
Epoch 139 | train MSE 0.007623 m2 | val MAE 6.0995 cm | val RMSE 8.3398 cm | 6.54 s
Epoch 140 | train MSE 0.007365 m2 | val MAE 6.0825 cm | val RMSE 8.2838 cm | 6.49 s
Epoch 141 | train MSE 0.007329 m2 | val MAE 6.0211 cm | val RMSE 8.2272 cm | 6.50 s *
Epoch 142 | train MSE 0.007318 m2 | val MAE 6.4741 cm | val RMSE 8.6657 cm | 6.62 s
Epoch 143 | train MSE 0.007394 m2 | val MAE 6.1438 cm | val RMSE 8.3646 cm | 6.53 s
Epoch 144 | train MSE 0.007332 m2 | val MAE 6.0594 cm | val RMSE 8.2919 cm | 6.69 s
Epoch 145 | train MSE 0.007299 m2 | val MAE 6.1905 cm | val RMSE 8.5261 cm | 6.78 s
Epoch 146 | train MSE 0.007466 m2 | val MAE 6.3711 cm | val RMSE 8.5687 cm | 6.54 s
Epoch 147 | train MSE 0.007391 m2 | val MAE 6.1463 cm | val RMSE 8.3362 cm | 6.54 s
Epoch 148 | train MSE 0.007298 m2 | val MAE 6.2861 cm | val RMSE 8.4267 cm | 6.29 s
Epoch 149 | train MSE 0.007791 m2 | val MAE 6.3615 cm | val RMSE 8.5364 cm | 6.69 s
Epoch 150 | train MSE 0.007352 m2 | val MAE 5.9833 cm | val RMSE 8.1814 cm | 6.53 s *
[STEP 3] Best checkpoint saved: sw/results/mars_ptq_20260925/fp32/best.pt, validation RMSE 8.1814 cm
