---------------------------------------------------------------------
[STEP 1] Loading official MARS train and validation arrays
[STEP 2] Training 15717 parameters on 24066 frames
Epoch 103 | train MSE 0.009403 m2 | val MAE 6.7766 cm | val RMSE 9.1553 cm | 6.33 s *
Epoch 104 | train MSE 0.009382 m2 | val MAE 6.9590 cm | val RMSE 9.2970 cm | 6.67 s
Epoch 105 | train MSE 0.009403 m2 | val MAE 6.7719 cm | val RMSE 9.1566 cm | 6.46 s
Epoch 106 | train MSE 0.009354 m2 | val MAE 6.8256 cm | val RMSE 9.1901 cm | 6.40 s
Epoch 107 | train MSE 0.009376 m2 | val MAE 6.7859 cm | val RMSE 9.1700 cm | 6.52 s
Epoch 108 | train MSE 0.009339 m2 | val MAE 6.8493 cm | val RMSE 9.2176 cm | 6.00 s
Epoch 109 | train MSE 0.009336 m2 | val MAE 6.9524 cm | val RMSE 9.3185 cm | 6.37 s
Epoch 110 | train MSE 0.009383 m2 | val MAE 6.7969 cm | val RMSE 9.1401 cm | 6.54 s *
Epoch 111 | train MSE 0.009299 m2 | val MAE 6.7418 cm | val RMSE 9.1666 cm | 6.22 s
Epoch 112 | train MSE 0.009316 m2 | val MAE 6.7786 cm | val RMSE 9.1267 cm | 6.15 s *
Epoch 113 | train MSE 0.009291 m2 | val MAE 6.7223 cm | val RMSE 9.1140 cm | 6.21 s *
Epoch 114 | train MSE 0.009267 m2 | val MAE 6.7915 cm | val RMSE 9.2160 cm | 6.15 s
Epoch 115 | train MSE 0.009301 m2 | val MAE 7.0068 cm | val RMSE 9.3315 cm | 6.32 s
Epoch 116 | train MSE 0.009327 m2 | val MAE 6.8647 cm | val RMSE 9.2298 cm | 6.62 s
Epoch 117 | train MSE 0.009262 m2 | val MAE 6.7288 cm | val RMSE 9.0889 cm | 6.25 s *
Epoch 118 | train MSE 0.009217 m2 | val MAE 6.7459 cm | val RMSE 9.1349 cm | 6.06 s
Epoch 119 | train MSE 0.009246 m2 | val MAE 6.7471 cm | val RMSE 9.1304 cm | 5.49 s
Epoch 120 | train MSE 0.009252 m2 | val MAE 6.8494 cm | val RMSE 9.1697 cm | 5.77 s
Epoch 121 | train MSE 0.009244 m2 | val MAE 6.7648 cm | val RMSE 9.1304 cm | 5.99 s
Epoch 122 | train MSE 0.009184 m2 | val MAE 6.7036 cm | val RMSE 9.1260 cm | 6.39 s
Epoch 123 | train MSE 0.009186 m2 | val MAE 6.7107 cm | val RMSE 9.0788 cm | 6.18 s *
Epoch 124 | train MSE 0.009139 m2 | val MAE 6.7000 cm | val RMSE 9.0845 cm | 6.23 s
